"National
Dex","Pokemon
Name",Type,Type I,Type II,Gen,Pag,Posición
1,Bulbasaur,Starter,Grass,Poison,Gen 1,1,1
2,Ivysaur,Starter,Grass,Poison,Gen 1,1,2
3,Venusaur,Starter,Grass,Poison,Gen 1,1,3
"3,1",Venusaur (Mega),"Starter, Mega Evolution",Grass,Poison,Gen 1,1,4
4,Charmander,Starter,Fire,,Gen 1,1,5
5,Charmeleon,Starter,Fire,,Gen 1,1,6
6,Charizard,Starter,Fire,Flying,Gen 1,1,7
"6,1",Charizard (Mega X),"Starter, Mega Evolution",Fire,Dragon,Gen 1,1,8
"6,2",Charizard (Mega Y),"Starter, Mega Evolution",Fire,Flying,Gen 1,1,9
7,Squirtle,Starter,Water,,Gen 1,1,10
8,Wartortle,Starter,Water,,Gen 1,1,11
9,Blastoise,Starter,Water,,Gen 1,1,12
"9,1",Blastoise (Mega),"Starter, Mega Evolution",Water,,Gen 1,2,1
10,Caterpie,,Bug,,Gen 1,2,2
11,Metapod,,Bug,,Gen 1,2,3
12,Butterfree,,Bug,Flying,Gen 1,2,4
13,Weedle,,Bug,Poison,Gen 1,2,5
14,Kakuna,,Bug,Poison,Gen 1,2,6
15,Beedrill,,Bug,Poison,Gen 1,2,7
"15,1",Beedrill (Mega),Mega Evolution,Bug,Poison,Gen 1,2,8
16,Pidgey,,Normal,Flying,Gen 1,2,9
17,Pidgeotto,,Normal,Flying,Gen 1,2,10
18,Pidgeot,,Normal,Flying,Gen 1,2,11
"18,1",Pidgeot (Mega),Mega Evolution,Normal,Flying,Gen 1,2,12
19,Rattata,,Normal,,Gen 1,3,1
"19,1",Rattata (Alolan),Alolan Form,Dark,Normal,Gen 1,3,2
20,Raticate,,Normal,,Gen 1,3,3
"20,1",Raticate (Alolan),Alolan Form,Dark,Normal,Gen 1,3,4
21,Spearow,,Normal,Flying,Gen 1,3,5
22,Fearow,,Normal,Flying,Gen 1,3,6
23,Ekans,,Poison,,Gen 1,3,7
24,Arbok,,Poison,,Gen 1,3,8
25,Pikachu,,Electric,,Gen 1,3,9
26,Raichu,,Electric,,Gen 1,3,10
"26,1",Raichu (Alolan),Alolan Form,Electric,Psychic,Gen 1,3,11
27,Sandshrew,,Ground,,Gen 1,3,12
"27,1",Sandshrew (Alolan),Alolan Form,Ice,Steel,Gen 1,4,1
28,Sandslash,,Ground,,Gen 1,4,2
"28,1",Sandslash (Alolan),Alolan Form,Ice,Steel,Gen 1,4,3
29,Nidoran (Female),,Poison,,Gen 1,4,4
30,Nidorina,,Poison,,Gen 1,4,5
31,Nidoqueen,,Poison,Ground,Gen 1,4,6
32,Nidoran (Male),,Poison,,Gen 1,4,7
33,Nidorino,,Poison,,Gen 1,4,8
34,Nidoking,,Poison,Ground,Gen 1,4,9
35,Clefairy,,Fairy,,Gen 1,4,10
36,Clefable,,Fairy,,Gen 1,4,11
37,Vulpix,,Fire,,Gen 1,4,12
"37,1",Vulpix (Alolan),Alolan Form,Ice,,Gen 1,5,1
38,Ninetales,,Fire,,Gen 1,5,2
"38,1",Ninetales (Alolan),Alolan Form,Ice,Fairy,Gen 1,5,3
39,Jigglypuff,,Normal,Fairy,Gen 1,5,4
40,Wigglytuff,,Normal,Fairy,Gen 1,5,5
41,Zubat,,Poison,Flying,Gen 1,5,6
42,Golbat,,Poison,Flying,Gen 1,5,7
43,Oddish,,Grass,Poison,Gen 1,5,8
44,Gloom,,Grass,Poison,Gen 1,5,9
45,Vileplume,,Grass,Poison,Gen 1,5,10
46,Paras,,Bug,Grass,Gen 1,5,11
47,Parasect,,Bug,Grass,Gen 1,5,12
48,Venonat,,Bug,Poison,Gen 1,6,1
49,Venomoth,,Bug,Poison,Gen 1,6,2
50,Diglett,,Ground,,Gen 1,6,3
"50,1",Diglett (Alolan),Alolan Form,Ground,Steel,Gen 1,6,4
51,Dugtrio,,Ground,,Gen 1,6,5
"51,1",Dugtrio (Alolan),Alolan Form,Ground,Steel,Gen 1,6,6
52,Meowth,,Normal,,Gen 1,6,7
"52,1",Meowth (Alolan),Alolan Form,Dark,,Gen 1,6,8
"52,2",Meowth (Galarian),Galarian Form,Steel,,Gen 1,6,9
53,Persian,,Normal,,Gen 1,6,10
"53,1",Persian (Alolan),Alolan Form,Dark,,Gen 1,6,11
54,Psyduck,,Water,,Gen 1,6,12
55,Golduck,,Water,,Gen 1,7,1
56,Mankey,,Fighting,,Gen 1,7,2
57,Primeape,,Fighting,,Gen 1,7,3
58,Growlithe,,Fire,,Gen 1,7,4
"58,1",Growlithe (Hisuian),Hisuian Form,Fire,Rock,Gen 1,7,5
59,Arcanine,,Fire,,Gen 1,7,6
"59,1",Arcanine (Hisuian),Hisuian Form,Fire,Rock,Gen 1,7,7
60,Poliwag,,Water,,Gen 1,7,8
61,Poliwhirl,,Water,,Gen 1,7,9
62,Poliwrath,,Water,Fighting,Gen 1,7,10
63,Abra,,Psychic,,Gen 1,7,11
64,Kadabra,,Psychic,,Gen 1,7,12
65,Alakazam,,Psychic,,Gen 1,8,1
"65,1",Alakazam (Mega),Mega Evolution,Psychic,,Gen 1,8,2
66,Machop,,Fighting,,Gen 1,8,3
67,Machoke,,Fighting,,Gen 1,8,4
68,Machamp,,Fighting,,Gen 1,8,5
69,Bellsprout,,Grass,Poison,Gen 1,8,6
70,Weepinbell,,Grass,Poison,Gen 1,8,7
71,Victreebel,,Grass,Poison,Gen 1,8,8
72,Tentacool,,Water,Poison,Gen 1,8,9
73,Tentacruel,,Water,Poison,Gen 1,8,10
74,Geodude,,Rock,Ground,Gen 1,8,11
"74,1",Geodude (Alolan),Alolan Form,Rock,Electric,Gen 1,8,12
75,Graveler,,Rock,Ground,Gen 1,9,1
"75,1",Graveler (Alolan),Alolan Form,Rock,Electric,Gen 1,9,2
76,Golem,,Rock,Ground,Gen 1,9,3
"76,1",Golem (Alolan),Alolan Form,Rock,Electric,Gen 1,9,4
77,Ponyta,,Fire,,Gen 1,9,5
"77,1",Ponyta (Galarian),Galarian Form,Psychic,,Gen 1,9,6
78,Rapidash,,Fire,,Gen 1,9,7
"78,1",Rapidash (Galarian),Galarian Form,Psychic,Fairy,Gen 1,9,8
79,Slowpoke,,Water,Psychic,Gen 1,9,9
"79,1",Slowpoke (Galarian),Galarian Form,Psychic,,Gen 1,9,10
80,Slowbro,,Water,Psychic,Gen 1,9,11
"80,1",Slowbro (Mega),Mega Evolution,Water,Psychic,Gen 1,9,12
"80,2",Slowbro (Galarian),Galarian Form,Poison,Psychic,Gen 1,10,1
81,Magnemite,,Electric,Steel,Gen 1,10,2
82,Magneton,,Electric,Steel,Gen 1,10,3
83,Farfetch'd,,Normal,Flying,Gen 1,10,4
"83,1",Farfetch'd (Galarian),Galarian Form,Fighting,,Gen 1,10,5
84,Doduo,,Normal,Flying,Gen 1,10,6
85,Dodrio,,Normal,Flying,Gen 1,10,7
86,Seel,,Water,,Gen 1,10,8
87,Dewgong,,Water,Ice,Gen 1,10,9
88,Grimer,,Poison,,Gen 1,10,10
"88,1",Grimer (Alolan),Alolan Form,Poison,Dark,Gen 1,10,11
89,Muk,,Poison,,Gen 1,10,12
